Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1951,Medicine,for his discoveries concerning yellow fever and how to combat it,Laboratories of the Division of Medicine and Public Health Rockefeller Foundation,New York NY,1899,1972,Max Theiler,South Africa,Pretoria,USA,New Haven CT,USA,M,73
1955,Medicine,for his discoveries concerning the nature and mode of action of oxidation enzymes,Karolinska Institutet Nobel Medical Institute,Stockholm,1903,1982,Hugo Theorell,Sweden,Linkîping,Sweden,Stockholm,Sweden,M,79
1960,Medicine,for discovery of acquired immunological tolerance,Walter and Eliza Hall Institute for Medical Research,Melbourne,1899,1985,Sir Frank Macfarlane Burnet,Australia,Traralgon,Australia,Melbourne,Australia,M,86
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,University of Geneva,Geneva,1942,,Michel Mayor,Switzerland,Lausanne,,,Switzerland,M,
2019,Chemistry,for the development of lithium-ion batteries,University of Texas,Austin TX,1922,2023,John Goodenough,Germany,Jena,USA,Austin TX,USA,M,101
2020,Economics,for improvements to auction theory and inventions of new auction formats,Stanford University,Stanford CA,1948,,Paul Milgrom,USA,Detroit MI,,,USA,M,
2022,Physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,University of Vienna,Vienna,1945,,Anton Zeilinger,Austria,Ried im Innkreis,,,Austria,M,
2001,Literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,,,1932,2018,V. S. Naipaul,Trinidad and Tobago,Chaguanas,United Kingdom,London,,M,86
2004,Medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Columbia University,New York NY,1946,,Richard Axel,USA,New York NY,,,USA,M,
1994,Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,University of Texas Southwestern Medical Center at Dallas,Dallas TX,1941,2015,Alfred G. Gilman,USA,New Haven CT,USA,Dallas TX,USA,M,74
1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation,Landwirtschaftliche Hochschule (Agricultural College),Berlin,1860,1917,Eduard Buchner,Germany,Munich,Romania,Focsani,Germany,M,57
1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,,,1867,1934,Marie Curie,Poland,Warsaw,France,Sallanches,,F,67
1926,Physics,for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium,Sorbonne University,Paris,1870,1942,Jean Baptiste Perrin,France,Lille,USA,New York NY,France,M,72
1965,Physics,for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles,California Institute of Technology (Caltech),Pasadena CA,1918,1988,Richard P. Feynman,USA,New York NY,USA,Los Angeles CA,USA,M,70
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nordita,Copenhagen,1926,2022,Ben R. Mottelson,USA,Chicago IL,,,Denmark,M,96
1927,Literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,,,1859,1941,Henri Bergson,France,Paris,France,Paris,,M,82
1946,Literature,for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style,,,1877,1962,Hermann Hesse,Germany,Calw,Switzerland,Montagnola,,M,85
1972,Economics,for their pioneering contributions to general economic equilibrium theory and welfare theory,Harvard University,Cambridge MA,1921,2017,Kenneth J. Arrow,USA,New York NY,USA,Palo Alto CA,USA,M,96
1973,Economics,for the development of the input-output method and for its application to important economic problems,Harvard University,Cambridge MA,1906,1999,Wassily Leontief,Russia,St. Petersburg,USA,New York NY,USA,M,93
1978,Economics,for his pioneering research into the decision-making process within economic organizations,Carnegie Mellon University,Pittsburgh PA,1916,2001,Herbert Simon,USA,Milwaukee WI,USA,Pittsburgh PA,USA,M,85
1982,Economics,for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation,University of Chicago,Chicago IL,1911,1991,George J. Stigler,USA,Renton WA,USA,Chicago IL,USA,M,80
1991,Economics,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,University of Chicago,Chicago IL,1910,2013,Ronald H. Coase,United Kingdom,Willesden,USA,Chicago IL,USA,M,103
2000,Medicine,for their discoveries concerning signal transduction in the nervous system,Columbia University,New York NY,1929,,Eric Kandel,Austria,Vienna,,,USA,M,
1984,Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Basel Institute for Immunology,Basel,1911,1994,Niels K. Jerne,United Kingdom,London,France,Castillon-du-Gard,Switzerland,M,83
1984,Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Basel Institute for Immunology,Basel,1946,1995,Georges J.F. Kîhler,Germany,Munich,Germany,Freiburg im Breisgau,Switzerland,M,49
1985,Medicine,for their discoveries concerning the regulation of cholesterol metabolism,University of Texas Southwestern Medical Center at Dallas,Dallas TX,1941,,Michael S. Brown,USA,New York NY,,,USA,M,
1987,Medicine,for his discovery of the genetic principle for generation of antibody diversity,Massachusetts Institute of Technology (MIT),Cambridge MA,1939,,Susumu Tonegawa,Japan,Nagoya,,,USA,M,
1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,Institute of Technology,Milan,1903,1979,Giulio Natta,Italy,Imperia,Italy,Bergamo,Italy,M,76
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids,Harvard University Biological Laboratories,Cambridge MA,1932,,Walter Gilbert,USA,Boston MA,,,USA,M,
1932,Medicine,for their discoveries regarding the functions of neurons,University of Oxford,Oxford,1857,1952,Sir Charles Sherrington,United Kingdom,London,United Kingdom,Eastbourne,United Kingdom,M,95
1981,Physics,for their contribution to the development of laser spectroscopy,Stanford University,Stanford CA,1921,1999,Arthur L. Schawlow,USA,Mount Vernon NY,USA,Palo Alto CA,USA,M,78
1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Berlin University,Berlin,1852,1911,Jacobus H. van 't Hoff,Netherlands,Rotterdam,Germany,Berlin,Germany,M,59
1918,Chemistry,for the synthesis of ammonia from its elements,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) fÅr physikalische Chemie und Electrochemie,Berlin-Dahlem,1868,1934,Fritz Haber,Poland,Wroclaw,Switzerland,Basel,Germany,M,66
1947,Chemistry,for his investigations on plant products of biological importance especially the alkaloids,University of Oxford,Oxford,1886,1975,Sir Robert Robinson,United Kingdom,Rufford near Chesterfield,United Kingdom,Great Missenden,United Kingdom,M,89
1905,Physics,for his work on cathode rays,Kiel University,Kiel,1862,1947,Philipp Lenard,Slovakia,Bratislava,Germany,Messelhausen,Germany,M,85
1925,Physics,for their discovery of the laws governing the impact of an electron upon an atom,Goettingen University,Gîttingen,1882,1964,James Franck,Germany,Hamburg,Germany,Gîttingen,Germany,M,82
1953,Physics,for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope,Groningen University,Groningen,1888,1966,Frits Zernike,Netherlands,Amsterdam,Netherlands,Groningen,Netherlands,M,78
1960,Physics,for the invention of the bubble chamber,University of California,Berkeley CA,1926,2013,Donald A. Glaser,USA,Cleveland OH,USA,Berkeley CA,USA,M,87
2009,Chemistry,for studies of the structure and function of the ribosome,MRC Laboratory of Molecular Biology,Cambridge,,,Venkatraman Ramakrishnan,India,Chidambaram Tamil Nadu,,,United Kingdom,M,
2011,Medicine,for their discoveries concerning the activation of innate immunity,University of Strasbourg,Strasbourg,1941,,Jules A. Hoffmann,Luxembourg,Echternach,,,France,M,
2013,Physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,University of Edinburgh,Edinburgh,1929,,Peter Higgs,United Kingdom,Newcastle upon Tyne,,,United Kingdom,M,
2015,Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Kitasato University,Tokyo,1935,,Satoshi Omura,Japan,Yamanashi Prefecture,,,Japan,M,
2020,Economics,for improvements to auction theory and inventions of new auction formats,Stanford University,Stanford CA,1937,,Robert Wilson,USA,Geneva NE,,,USA,M,
2021,Physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Sapienza University of Rome,Rome,1948,,Giorgio Parisi,Italy,Rome,,,Italy,M,
2021,Chemistry,for the development of asymmetric organocatalysis,Max-Planck-Institut fÅr Kohlenforschung,MÅlheim an der Ruhr,1968,,Benjamin List,Germany,Frankfurt-on-the-Main,,,Germany,M,
2021,Chemistry,for the development of asymmetric organocatalysis,Princeton University,Princeton NJ,1968,,David MacMillan,United Kingdom,Bellshill,,,USA,M,
1902,Peace,for his untiring and skilful directorship of the Bern Peace Bureau,,,1833,1906,êlie Ducommun,Switzerland,Geneva,Switzerland,Bern,,M,73
1902,Peace,for his eminently practical administration of the Inter-Parliamentary Union,,,1843,1914,Albert Gobat,Switzerland,Tramelan,Switzerland,Bern,,M,71
1907,Peace,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,Sorbonne University,Paris,1843,1918,Louis Renault,France,Autun,France,Barbizon,France,M,75
1909,Peace,for their prominent position in the international movement for peace and arbitration,,,1829,1912,Auguste Beernaert,Belgium,Ostend,Switzerland,Lucerne,,M,83
1920,Peace,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,,,1851,1925,LÇon Bourgeois,France,Paris,France,êpernay,,M,74
1921,Peace,for their lifelong contributions to the cause of peace and organized internationalism,,,1860,1925,Hjalmar Branting,Sweden,Stockholm,Sweden,Stockholm,,M,65
1946,Peace,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,,,1865,1955,John R. Mott,USA,Livingston Manor NY,USA,,,M,90
1957,Peace,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,,,1897,1972,Lester Bowles Pearson,Canada,Toronto,Canada,Ottawa,,M,75
1986,Literature,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,,,1934,,Wole Soyinka,Nigeria,Abeokuta,,,,M,
1979,Economics,for their pioneering research into economic development research with particular consideration of the problems of developing countries,Princeton University,Princeton NJ,1915,1991,Sir Arthur Lewis,Saint Lucia,Castries,Barbados,Bridgetown,USA,M,76
1992,Economics,for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour,University of Chicago,Chicago IL,1930,2014,Gary Becker,USA,Pottsville PA,USA,Chicago IL,USA,M,84
2001,Physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,Massachusetts Institute of Technology (MIT),Cambridge MA,1957,,Wolfgang Ketterle,Germany,Heidelberg,,,USA,M,
2001,Economics,for their analyses of markets with asymmetric information,Columbia University,New York NY,1943,,Joseph E. Stiglitz,USA,Gary IN,,,USA,M,
2001,Peace,for their work for a better organized and more peaceful world,,,,,United Nations,,,,,,,
2004,Peace,for her contribution to sustainable development democracy and peace,,,1940,2011,Wangari Maathai,Kenya,Nyeri,Kenya,Nairobi,,F,71
2018,Chemistry,for the phage display of peptides and antibodies,University of Missouri,Columbia,1941,,George P. Smith,USA,Norwalk CT,,,USA,M,
2019,Chemistry,for the development of lithium-ion batteries,Binghamton University State University of New York,New York NY,1941,,M. Stanley Whittingham,United Kingdom,,,,USA,M,
